energy_eV,quantum_efficiency
1.37,0.0
1.37852,0.03166
1.39984,0.03888
1.41502,0.04268
1.43037,0.04681
1.44605,0.05107
1.46225,0.05530
1.47988,0.06017
1.49559,0.06539
1.50961,0.06874
1.52728,0.07364
1.54864,0.07976
1.56724,0.08459
1.58690,0.09020
1.62007,0.09993
1.63914,0.10620
1.65644,0.11180
1.67682,0.11790
1.69679,0.12470
1.71202,0.13050
1.72728,0.13470
1.74626,0.14080
1.76616,0.14680
1.78497,0.15380
1.81290,0.16200
1.83354,0.16780
1.85023,0.17330
1.86695,0.17900
1.88454,0.18500
1.90247,0.19380
1.92373,0.19920
1.93968,0.20510
1.95405,0.20960
1.96644,0.21530
1.97742,0.22110
1.98884,0.22690
2.00330,0.23320
2.02854,0.24260
2.04527,0.24910
2.06882,0.25430
2.08622,0.26110
2.09965,0.26740
2.11830,0.27310
2.13876,0.27990
2.16680,0.29040
2.18397,0.29690
2.20377,0.30320
2.22473,0.30900
2.24528,0.31520
2.26704,0.32300
2.29685,0.33190
2.31920,0.33810
2.33800,0.34380
2.35981,0.35000
2.38339,0.35640
2.41402,0.36430
2.44497,0.37110
2.46637,0.37600
2.49566,0.38080
2.53702,0.38840
2.58840,0.39390
2.68538,0.39900
2.74544,0.40130
2.80317,0.39940
2.86404,0.39460
2.92209,0.38880
2.97824,0.38380
3.02327,0.37700
3.06285,0.36970
3.08572,0.36430
3.13408,0.35690
3.17827,0.34950
3.21452,0.34350
3.24396,0.33490
3.26446,0.32740
3.28522,0.32060
3.30625,0.31420
3.32397,0.30800
3.34911,0.29970
3.37372,0.29000
3.38755,0.28240
3.40242,0.27680
3.42214,0.27010
3.44784,0.26200
3.47003,0.25470
3.49350,0.24670
3.52328,0.23640
3.53836,0.23000
3.55459,0.22340
3.57200,0.21620
3.59270,0.20830
3.62527,0.19100
3.63058,0.18380
3.64338,0.17670
3.65089,0.17070
3.65304,0.16440
3.66492,0.15530
3.68124,0.14640
3.68891,0.14000
3.69661,0.13370
3.70102,0.12710
3.70877,0.12060
3.71990,0.11510
3.72773,0.10890
3.75596,0.09857
3.76966,0.08157
3.77310,0.07402
3.79621,0.06374
3.80203,0.05584
3.82078,0.04788
3.83377,0.04027
3.85403,0.03331
3.88057,0.02658
3.9,0.0
